term	meaning	reading
作文	작문	さくぶん
寒い	춥다	さむい
さようなら	작별 인사	さようなら
皿	접시	さら
散歩	산책	さんぽ
雑誌	잡지	ざっし
試合	시합	しあい
しかし	그러나	しかし
仕事	일	しごと
静か	조용하다	しずか
下	아래	した
したい	하고 싶다	したい
質問	질문	しつもん
失礼	실례다, 실례합니다	しつれい
失礼します	실례합니다	しつれいします
死ぬ	죽다	しぬ
閉まる	닫히다	しまる
写真	사진	しゃしん
週末	주말	しゅうまつ
宿題	숙제	しゅくだい
紹介	소개	しょうかい
小学生	초등학생	しょうがくせい
小学校	초등학교	しょうがっこう
小説	소설	しょうせつ
食事	식사	しょくじ
食堂	식당	しょくどう
調べる	조사하다	しらべる
知る	알다	しる
白い	하얗다	しろい
信号	신호, 신호등	しんごう
新聞	신문	しんぶん
字	글자, 글씨	じ
時間	시간	じかん
辞書	사전	じしょ
辞書を引く	사전을 찾다	じしょをひく
自転車	자전거	じてんしゃ
自動車	자동차	じどうしゃ
字引	사전	じびき
自分	자신, 나	じぶん
住所	주소	じゅうしょ
授業	수업	じゅぎょう
ジュース	주스	じゅーす
上手	잘하다	じょうず
丈夫	튼튼하다	じょうぶ
水泳	수영	すいえい
好き	좋아하다	すき
少ない	적다	すくない
すぐ	곧, 쉽게, 바로 가까이에	すぐ
すぐに	바로	すぐに
少し	조금	すこし
すごい	대단하다	すごい
進む	나아가다, 진행되다, (시계가) 빠르다	すすむ
涼しい	선선하다	すずしい
スペイン	스페인	すぺいん
すみません	죄송합니다, 감사합니다	すみません
住む	살다	すむ
する	하다, (냄새나 소리가) 나다, ~로 하다(Nにする)	する
座る	앉다	すわる
ずっと	쭉, 훨씬	ずっと
背	등, 키	せ
生徒	(주로 초중고의) 학생	せいと
背が高い	키가 크다	せがたかい
席	자리	せき
石鹸	비누	せっけん
説明	설명	せつめい
背広	신사복	せびろ
先月	지난달	せんげつ
選手	선수	せんしゅ
先週	지난주	せんしゅう
先日	며칠 전	せんじつ
先生	선생님	せんせい
全部	전부	ぜんぶ
そこ	거기, 바닥	そこ
そして	그리고	そして
そちら	그쪽	そちら
卒業	졸업	そつぎょう
外	밖	そと
その	그, 제	その
そば	소바	そば
祖父	할아버지	そふ
祖母	할머니	そぼ
空	하늘	そら
それ	그것, 그때	それ
それから	그리고 나서	それから
それでは	그럼	それでは
そろそろ	슬슬	そろそろ
そんな	그런, 말도 안 돼	そんな
大使館	대사관	たいしかん
大切	중요하다, 소중하다	たいせつ
大変	매우, 힘들다, 큰일이다	たいへん
高い	높다, 비싸다	たかい
たくさん	많이, 충분하다	たくさん
ただいま	지금, 다녀왔습니다	ただいま
正しい	옳다	ただしい
立つ	서다	たつ
楽しい	즐겁다	たのしい
楽しむ	즐기다	たのしむ
頼む	부탁하다, 주문하다	たのむ
たばこ	담배	たばこ
食べ物	음식	たべもの
食べる	먹다	たべる
卵	알, 지망생	たまご
誕生日	생일	たんじょうび
大学	대학	だいがく
大丈夫	괜찮다	だいじょうぶ
大好き	매우 좋아하다	だいすき
出す	꺼내다, 내다, (편지를) 보내다	だす
誰	누구	だれ
だんだん	점점	だんだん
小さい	작다, 어리다	ちいさい
近い	가깝다	ちかい
近く	근처	ちかく
地下鉄	지하철	ちかてつ
違う	다르다, 틀리다	ちがう
父	아버지	ちち
茶碗	밥공기	ちゃわん
注意	주의	ちゅうい
中国	중국	ちゅうごく
ちょうど	정확히	ちょうど
ちょっと	조금, 저기요	ちょっと
使う	쓰다	つかう
疲れる	지치다	つかれる
次	다음	つぎ
付く	붙다, (불이나 전원이) 켜지다	つく
着く	도착하다	つく
机	책상	つくえ
作り方	만드는 법	つくりかた
作る	만들다	つくる
つける	붙이다, (전등을) 켜다, (장신구를) 하다	つける
伝える	전하다	つたえる
勤める	근무하다	つとめる
つまらない	시시하다	つまらない
冷たい	차갑다	つめたい
強い	강하다	つよい
手	손, 수단	て
手紙	편지	てがみ
手伝う	돕다	てつだう
天気	날씨	てんき
店長	점장	てんちょう
