term	meaning	reading
生じる	발생시키다	しょうじる
小数	소수	しょうすう
少数	소수	しょうすう
小説家	소설가	しょうせつか
招待状	초대장	しょうたいじょう
承知	알다, 승낙하다, 용납하다	しょうち
象徴	상징	しょうちょう
焦点	초점	しょうてん
商店街	상점가	しょうてんがい
衝突	충돌	しょうとつ
消毒	소독	しょうどく
承認	승인	しょうにん
勝敗	승패	しょうはい
賞品	상품	しょうひん
勝負	승부	しょうぶ
消防署	소방서	しょうぼうしょ
正味	실질	しょうみ
賞味期限	맛있게 먹을 수 있는 기한	しょうみきげん
消耗	소모	しょうもう
醤油漬け	간장 절임	しょうゆづけ
招来	초래하다	しょうらい
省略	생략	しょうりゃく
諸外国	여러 외국	しょがいこく
初期	초기	しょき
食塩	식염	しょくえん
食卓	식탁	しょくたく
職人	장인	しょくにん
職場	직장	しょくば
食物	음식물	しょくもつ
食欲	식욕	しょくよく
諸国	여러 나라	しょこく
諸条件	여러 조건	しょじょうけん
書籍	서적	しょせき
初対面	초면	しょたいめん
食器類	식기류	しょっきるい
しょっちゅう	늘	しょっちゅう
しょっぱい	짜다	しょっぱい
諸手続き	여러 절차	しょてつづき
初年度	초년도	しょねんど
初歩	초보	しょほ
署名	서명	しょめい
書物	서적	しょもつ
諸問題	여러 문제	しょもんだい
所有	소유	しょゆう
処理	처리	しょり
使用済み	사용 완료	しようずみ
白髪	흰머리	しらが
白々しい	속이 뻔히 보이다	しらじらしい
知らず知らず	자기도 모르게	しらずしらず
汁	즙, 국	しる
印	표시, 상징	しるし
城	성	しろ
しわ	주름	しわ
進学率	진학률	しんがくりつ
新記録	신기록	しんきろく
真剣	진지하다	しんけん
進行	진행	しんこう
深刻	심각하다	しんこく
進出	진출	しんしゅつ
心身	심신	しんしん
新人	신인	しんじん
新卒	신규 졸업자	しんそつ
心臓	심장	しんぞう
診断	진단	しんだん
慎重	신중하다	しんちょう
慎重派	신중파	しんちょうは
侵入	침입	しんにゅう
審判	심판	しんぱん
進路	진로	しんろ
じかに	직접	じかに
時間を潰す	시간을 때우다	じかんをつぶす
じきに	곧	じきに
磁石	자석	じしゃく
持続	지속	じぞく
自体	자체	じたい
辞退	사양	じたい
自宅	자택	じたく
じたばた	발버둥치다, 허둥거리다	じたばた
実感	실감	じっかん
実行	실행	じっこう
実際	실제	じっさい
実習	실습	じっしゅう
実績	실적	じっせき
実践	실천	じっせん
実	진실, 실질, 결실	じつ
実に	실로	じつに
実務	실무	じつむ
実用的	실용적이다	じつようてき
実例	실례	じつれい
児童	아동	じどう
地盤	지반, 기반	じばん
自分勝手	제멋대로이다	じぶんかって
自分で	스스로	じぶんで
地味	수수하다, 은근히(地味に)	じみ
じめじめ	축축하다	じめじめ
地元	고향	じもと
弱点	약점	じゃくてん
じゃんけん	가위바위보	じゃんけん
銃	총	じゅう
住居	주거	じゅうきょ
充実	충실하다	じゅうじつ
住宅街	주택가	じゅうたくがい
重点	중점	じゅうてん
充電	충전	じゅうでん
柔軟	유연하다	じゅうなん
柔軟性	유연성	じゅうなんせい
充満	가득 차다	じゅうまん
重役	중역	じゅうやく
重力	중력	じゅうりょく
塾	학원	じゅく
受験生	수험생	じゅけんせい
授受	주고받음	じゅじゅ
述語	술어	じゅつご
寿命	수명	じゅみょう
需要	수요	じゅよう
準決勝	준결승	じゅんけっしょう
順々に	차례차례	じゅんじゅんに
順序	순서	じゅんじょ
純粋	순수하다	じゅんすい
順調	순조롭다	じゅんちょう
準優勝	준우승	じゅんゆうしょう
自由化	자유화	じゆうか
情	정	じょう
蒸気	수증기	じょうき
定規	자	じょうぎ
情景	정경	じょうけい
条件	조건	じょうけん
条件付き	조건부	じょうけんつき
上昇	상승	じょうしょう
情勢	정세	じょうせい
上等	훌륭하다, 바라던 바다	じょうとう
蒸発	증발	じょうはつ
乗用車	승용차	じょうようしゃ
女王	여왕	じょおう
除外	제외	じょがい
徐行	서행	じょこう
徐々に	서서히	じょじょに
女性向け	여성용	じょせいむけ
女優	여배우	じょゆう
序列	서열	じょれつ
事例	사례	じれい
じろじろ	빤히	じろじろ
人工的	인공적이다	じんこうてき
人事	인사, 사람의 힘	じんじ
人生観	인생관	じんせいかん
人物	인물	じんぶつ
人命	인명	じんめい
人類	인류	じんるい
吸い殻	담배꽁초	すいがら
水産物	수산물	すいさんぶつ
水準	수준	すいじゅん
水蒸気	수증기	すいじょうき
推薦	추천	すいせん
垂直	수직	すいちょく
推定	추정	すいてい
水滴	물방울	すいてき
水筒	물통	すいとう
水分	수분	すいぶん
水平	수평	すいへい
水平線	수평선	すいへいせん
水面	수면	すいめん
素顔	민낯	すがお
清々しい	상쾌하다	すがすがしい
姿	모습	すがた
隙	틈	すき
透き通る	투명하다	すきとおる
隙間	틈	すきま
好く	좋아하다	すく
救う	구하다	すくう
救われる	구원받다, 위안을 얻다	すくわれる
優れる	뛰어나다	すぐれる
筋	근육, 이치, 줄거리	すじ
涼む	시원한 바람을 쐬다	すずむ
すっと	쓱, 후련해지다	すっと
酸っぱい	시다	すっぱい
砂	모래	すな
すなわち	즉	すなわち
済ます	끝내다, 때우다	すます
炭	숯	すみ
隅	구석	すみ
炭火	숯불	すみび
鋭い	날카롭다	するどい
すれ違う	엇갈리다	すれちがう
寸法	치수, 계획	すんぽう
図鑑	도감	ずかん
図形	도형	ずけい
ずっと前に	훨씬 전에	ずっとまえに
頭脳	두뇌	ずのう
図表	도표	ずひょう
ずらす	옮기다	ずらす
ずらっと	죽 늘어서	ずらっと
ずらり	죽 늘어서	ずらり
ずるい	교활하다	ずるい
ずる賢い	교활하다	ずるがしこい
精一杯	최선	せいいっぱい
声援	성원	せいえん
請求	청구	せいきゅう
清潔	청결하다	せいけつ
成功率	성공률	せいこうりつ
製作	제작	せいさく
精算	정산	せいさん
生産地	생산지	せいさんち
精神	정신	せいしん
政治	정치	せいじ
政治色	정치색	せいじしょく
整数	정수	せいすう
せいぜい	기껏해야, 최대한	せいぜい
清掃	청소	せいそう
生存	생존	せいぞん
政党	정당	せいとう
制度下	제도하	せいどか
性能	성능	せいのう
整備	정비	せいび
政府	정부	せいふ
生物	생물	せいぶつ
成分	성분	せいぶん
性別	성별	せいべつ
正方形	정사각형	せいほうけい
生命	생명	せいめい
成立	성립	せいりつ
勢力	세력	せいりょく
西暦	서력	せいれき
背負う	짊어지다, 배경으로 두다	せおう
石炭	석탄	せきたん
責任感	책임감	せきにんかん
世間	세간	せけん
世帯	가구	せたい
世代	세대	せだい
せっかく	모처럼, 애써	せっかく
積極的	적극적이다	せっきょくてき
設計	설계	せっけい
接する	접하다, 대하다	せっする
せっせと	부지런히	せっせと
説得	설득	せっとく
切ない	애달프다	せつない
設備	설비	せつび
背骨	척추	せぼね
迫る	다가오다, 강하게 요구하다	せまる
せめて	적어도	せめて
攻める	공격하다	せめる
責める	책망하다	せめる
台詞	대사	せりふ
栓	마개, 꼭지	せん
選挙	선거	せんきょ
戦後	전쟁 후	せんご
先祖	선조	せんぞ
先端	끝부분, 첨단	せんたん
先着順	선착순	せんちゃくじゅん
選定	선정	せんてい
先頭	선두	せんとう
専念	전념	せんねん
船便	배편	せんびん
鮮明	선명하다	せんめい
専門別	전문별	せんもんべつ
戦略	전략	せんりゃく
線路沿い	철로변	せんろぞい
贅沢	사치	ぜいたく
税務署	세무서	ぜいむしょ
絶景	절경	ぜっけい
絶好調	최상의 상태	ぜっこうちょう
絶品	일품	ぜっぴん
是非とも	꼭	ぜひとも
前期	전기	ぜんき
前者	전자	ぜんしゃ
前社長	전 사장	ぜんしゃちょう
前進	전진	ぜんしん
前町長	전 읍장	ぜんちょうちょう
全般	전반	ぜんぱん
全般的	전반적이다	ぜんぱんてき
善良	선량하다	ぜんりょう
全力	전력	ぜんりょく
沿う	(길이나 선을) 따라가다, (방침을) 따르다, (기대에) 부합하다	そう
相違	다름	そうい
そういえば	그러고 보니	そういえば
総売上	총매출	そううりあげ
総額	총액	そうがく
倉庫	창고	そうこ
相互	상호	そうご
捜査	수사	そうさ
操作	조작	そうさ
創作	창작	そうさく
惣菜	반찬	そうざい
葬式	장례식	そうしき
送信元	발신지	そうしんもと
総人口	총인구	そうじんこう
騒々しい	소란스럽다	そうぞうしい
装置	장치	そうち
想定	상정	そうてい
総動員	총동원	そうどういん
即位	즉위	そくい
即座	즉시	そくざ
即座に	즉시	そくざに
速力	속력	そくりょく
そこで	그래서	そこで
素材	소재	そざい
組織	조직	そしき
素質	소질	そしつ
祖先	조상	そせん
そそっかしい	덜렁대다	そそっかしい
育ち	자람	そだち
率直	솔직하다	そっちょく
供える	바치다	そなえる
備える	갖추다, 대비하다	そなえる
その上	그 위에	そのうえ
そのうち	머지않아, 그중	そのうち
そのため	그 때문에	そのため
その他	그 밖	そのほか
そのもの	그 자체	そのもの
粗末	변변찮다, 함부로 다루다	そまつ
剃る	면도하다	そる
それでも	그래도	それでも
それとも	아니면	それとも
それどころか	그건커녕	それどころか
それなのに	그런데도	それなのに
それにしても	그렇다 해도	それにしても
逸れる	빗나가다	それる
揃う	갖추어지다, 일치하다, 모이다	そろう
揃える	갖추다, 가지런히 하다, 크기 등을 맞추다	そろえる
そろばん	주판	そろばん
損	손해	そん
損害	손해	そんがい
尊敬	존경	そんけい
損失	손실	そんしつ
損する	손해를 보다	そんする
尊重	존중	そんちょう
損得	손익	そんとく
象	코끼리	ぞう
臓器	장기	ぞうき
造船	조선	ぞうせん
増大	증대	ぞうだい
続出	속출	ぞくしゅつ
属する	속하다	ぞくする
続々	잇달아	ぞくぞく
ぞろぞろ	줄줄	ぞろぞろ
対応	대응, 지원하다	たいおう
体格	체격	たいかく
体感	체감	たいかん
大気	대기	たいき
退屈	지루하다	たいくつ
体系	체계	たいけい
対決	대결	たいけつ
太鼓	북	たいこ
対抗	대항	たいこう
対抗心	대항심	たいこうしん
対策	대책	たいさく
大した	대단한	たいした
大衆	대중	たいしゅう
対照	대조	たいしょう
対象	대상	たいしょう
体制	체제	たいせい
体積	부피	たいせき
大戦	대전	たいせん
体操	체조	たいそう
対等	대등하다	たいとう
大半	대부분	たいはん
大木	거목	たいぼく
対面	대면	たいめん
体毛	체모	たいもう
太陽	태양	たいよう
平ら	평평하다	たいら
大陸	대륙	たいりく
対立	대립	たいりつ
田植え	모내기	たうえ
絶えず	끊임없이	たえず
堪える	견디다, …할 만하다	たえる
耐える	견디다	たえる
倒す	쓰러뜨리다	たおす
耕す	(밭을) 갈다	たがやす
滝	폭포	たき
多機能	다기능	たきのう
炊く	(밥을) 짓다	たく
蓄える	축적하다	たくわえる
多彩	다채롭다	たさい
確か	확실하다, (기억이 맞다면) 아마	たしか
尋ねる	묻다, 찾다	たずねる
叩く	치다, 비판하다	たたく
畳	다다미	たたみ
多大	매우 크다	ただい
ただし	다만	ただし
直ちに	곧바로	ただちに
たちまち	금세	たちまち
達する	도달하다	たっする
達成	달성	たっせい
たとえ	예, 비유, 설령	たとえ
例える	비유하다	たとえる
谷	계곡	たに
種	씨, 원인, 소재	たね
頼みづらい	부탁하기 어렵다	たのみづらい
田畑	논밭	たはた
束	다발	たば
束ねる	묶다, 통솔하다	たばねる
旅	여행	たび
旅先	여행지	たびさき
たびたび	여러 번	たびたび
多分	아마	たぶん
食べ頃	먹기 좋은 때	たべごろ
食べづらい	먹기 힘들다	たべづらい
たまらない	견딜 수 없다	たまらない
溜まる	모이다	たまる
貯まる	(돈이) 모이다	たまる
試す	시험해 보다	ためす
溜める	모으다, (요금 등을) 체납하다	ためる
保つ	유지하다	たもつ
便り	소식	たより
頼り	의지가 되는 것	たより
短縮	단축	たんしゅく
短所	단점	たんしょ
単純	단순하다	たんじゅん
淡水	담수	たんすい
単なる	단순한	たんなる
担任	담임	たんにん
淡泊	담백하다	たんぱく
単品	단품	たんぴん
田んぼ	논	たんぼ
題	제목, (시험) 문제	だい
第一印象	첫인상	だいいちいんしょう
題材	소재	だいざい
大小	크기	だいしょう
大臣	장관	だいじん
代表	대표	だいひょう
題名	제목	だいめい
代名詞	대명사	だいめいし
ダイレクト	직접적이다	だいれくと
楕円	타원	だえん
脱落	탈락, 누락되다	だつらく
妥当	타당하다	だとう
～だらけ	~투성이	だらけ
だらしない	칠칠하지 못하다, 나약하다	だらしない
段階	단계	だんかい
男女	남녀	だんじょ
団地	주택 단지	だんち
断定	단정	だんてい
治安	치안	ちあん
地位	지위	ちい
知恵	지혜	ちえ
遅延	지연	ちえん
誓う	맹세하다	ちかう
近頃	요즘	ちかごろ
近々	조만간	ちかぢか
近寄る	다가가다	ちかよる
力強い	힘차다, 마음이 든든하다	ちからづよい
千切る	뜯다	ちぎる
契る	맹세하다	ちぎる
蓄積	축적	ちくせき
ちくちく	따끔따끔	ちくちく
遅刻がち	지각이 잦다	ちこくがち
知事	지사	ちじ
知性	지성	ちせい
地帯	지대	ちたい
縮まる	줄어들다	ちぢまる
縮む	줄어들다	ちぢむ
縮める	줄이다, 움츠리다	ちぢめる
縮れる	곱슬거리다	ちぢれる
秩序	질서	ちつじょ
地点	지점	ちてん
ちなみに	참고로	ちなみに
知能	지능	ちのう
地平線	지평선	ちへいせん
着々	착착	ちゃくちゃく
ちゃんと	제대로	ちゃんと
中継	중계	ちゅうけい
抽象	추상	ちゅうしょう
抽象的	추상적이다	ちゅうしょうてき
忠実	충실하다	ちゅうじつ
抽選	추첨	ちゅうせん
中断	중단	ちゅうだん
中立	중립	ちゅうりつ
長官	장관	ちょうかん
長期	장기	ちょうき
朝食付き	조식 포함	ちょうしょくつき
頂上	정상	ちょうじょう
調整	조정	ちょうせい
調節	조절	ちょうせつ
挑戦	도전	ちょうせん
頂点	정점	ちょうてん
長方形	직사각형	ちょうほうけい
直進	직진	ちょくしん
直前	직전, 바로 앞	ちょくぜん
著者	저자	ちょしゃ
著書	저서	ちょしょ
貯蔵	저장	ちょぞう
直角	직각	ちょっかく
直径	직경	ちょっけい
直行	직행	ちょっこう
ちょっとした	사소한, 상당한	ちょっとした
散らかす	어지르다	ちらかす
散らかる	어질러지다	ちらかる
散らす	흩뜨리다	ちらす
散る	(꽃이나 잎이) 지다, 흩어지다	ちる
賃金	임금	ちんぎん
ついている	붙어 있다, 운이 좋다	ついている
通貨	통화	つうか
通学	통학	つうがく
通行	통행	つうこう
通常	통상	つうじょう
通達	통지, 통달하다	つうたつ
通販	통신 판매	つうはん
通報	통보	つうほう
通路	통로	つうろ
通話	통화	つうわ
使いこなす	능숙하게 다루다	つかいこなす
使い込む	오래 써서 익숙해지다, 횡령하다	つかいこむ
使い道	쓰임새	つかいみち
捕まえる	붙잡다	つかまえる
疲れ気味	피곤한 기미가 있다	つかれぎみ
突き当たり	막다른 곳	つきあたり
突き当たる	부딪히다, 다다르다	つきあたる
尽きる	다하다	つきる
就く	취임하다	つく
次ぐ	뒤를 잇다	つぐ
継ぐ	잇다	つぐ
償う	보상하다, 속죄하다	つぐなう
付け加える	덧붙이다	つけくわえる
突っ込む	쑤셔 넣다, 파고들다, 날카롭게 지적하다	つっこむ
慎む	삼가다	つつしむ
努める	노력하다	つとめる
つながる	이어지다	つながる
繋ぐ	연결하다	つなぐ
つなげる	연결하다	つなげる
つねる	꼬집다	つねる
唾	침	つば
粒	알	つぶ
潰す	찌부러뜨리다, 망하게 하다, 시간을 때우다	つぶす
潰れる	찌그러지다, 도산하다, 무산되다	つぶれる
つまずく	걸려 넘어지다, 실패하다	つまずく
つまり	즉, 막힘	つまり
詰まる	가득 차다, 막히다	つまる
罪	죄	つみ
積み重なる	쌓이다	つみかさなる
積み重ね	쌓임	つみかさね
罪する	처벌하다	つみする
摘む	따다	つむ
積む	쌓다, 싣다	つむ
詰め込む	가득 채우다	つめこむ
強気	자신만만하다, 강세	つよき
強火	센 불	つよび
強み	강점	つよみ
辛い	괴롭다	つらい
釣り	낚시, 거스름돈	つり
釣り合う	균형이 맞다, 어울리다	つりあう
吊る	매달다	つる
吊るす	매달다	つるす
連れ	동행인	つれ
連れ出す	데리고 나가다	つれだす
定価	정가	ていか
低価格	저가	ていかかく
定期券	정기권	ていきけん
定休日	정기 휴무일	ていきゅうび
提携	제휴	ていけい
抵抗	저항, 거부감	ていこう
提示	제시	ていじ
訂正	정정	ていせい
定年	정년	ていねん
停留所	정류소	ていりゅうじょ
低カロリー	저칼로리	ていカロリー
低レベル	낮은 수준	ていレベル
手軽	간편하다	てがる
敵	적	てき
的確	정확하다	てきかく
適する	적합하다	てきする
適切	적절하다	てきせつ
適度	적당하다	てきど
適用	적용	てきよう
手頃	적당하다	てごろ
手帳	수첩	てちょう
撤去	철거	てっきょ
鉄橋	철교	てっきょう
徹底的	철저하다	てっていてき
鉄砲	총	てっぽう
鉄	철	てつ
哲学	철학	てつがく
手間	수고	てま
手間賃	수고비	てまちん
照らし合わせる	대조하다	てらしあわせる
照らす	비추다	てらす
照る	빛나다	てる
添加	첨가	てんか
展開	전개	てんかい
転勤	전근	てんきん
典型的	전형적이다	てんけいてき
点検	점검	てんけん
天職	천직	てんしょく
転職	이직	てんしょく
天井	천장	てんじょう
店内	가게 안	てんない
天然	천연, (사람이) 엉뚱한 허당이다	てんねん
添付	첨부	てんぷ
出来立て	갓 만들어진 것	できたて
弟子	제자	でし
でたらめ	엉터리, 아무렇게나	でたらめ
出迎え	마중	でむかえ
田園	전원	でんえん
伝記	전기	でんき
電気代	전기세	でんきだい
電子	전자	でんし
電車賃	전철 요금	でんしゃちん
伝承	전승	でんしょう
伝授	전수	でんじゅ
電卓	계산기	でんたく
電池	전지	でんち
電波	전파	でんぱ
電流	전류	でんりゅう
電力	전력	でんりょく
問いかける	질문을 던지다	といかける
統一	통일	とういつ
東京駅発	도쿄역 출발	とうきょうえきはつ
討議	토의	とうぎ
峠	고개, 고비	とうげ
登校	등교	とうこう
東西	동서	とうざい
投書	투고	とうしょ
当時	당시	とうじ
到達	도달하다	とうたつ
尊い	소중하다, 존귀하다	とうとい
盗難	도난	とうなん
当番	당번	とうばん
投票率	투표율	とうひょうりつ
当分	당분간	とうぶん
逃亡	도망	とうぼう
透明	투명하다	とうめい
登録	등록	とうろく
討論	토론	とうろん
通す	통하게 하다, 거치다, 끝까지 하다	とおす
通りかかる	마침 지나가다	とおりかかる
都会育ち	도시에서 자라다	とかいそだち
尖る	뾰족해지다, 날카로워지다	とがる
解き始める	풀기 시작하다	ときはじめる
特殊	특수	とくしゅ
特性	특성	とくせい
特徴	특징	とくちょう
特定	특정	とくてい
溶け込む	녹아들다	とけこむ
ところが	그런데	ところが
ところで	그런데, 설령 ~해도	ところで
ところどころ	군데군데	ところどころ
登山	등산	とざん
年明け	연초	としあけ
図書	도서	としょ
途端	그 순간	とたん
途端に	바로 그 순간에	とたんに
戸棚	수납장	とだな
特権	특권	とっけん
整う	갖추어지다, 정돈되다	ととのう
整える	정돈하다, 갖추다, 조정하다	ととのえる
留まる	머무르다	とどまる
とにかく	어쨌든, 정말	とにかく
飛び上がる	뛰어오르다	とびあがる
飛び降りる	뛰어내리다	とびおりる
飛び交う	어지럽게 날아다니다	とびかう
飛び立つ	날아오르다	とびたつ
飛び出す	뛰쳐나가다, 튀어나오다	とびだす
飛び散る	사방으로 흩어지다	とびちる
飛びつく	달려들다	とびつく
乏しい	부족하다	とぼしい
ともかく	어쨌든, 제쳐 두고	ともかく
伴う	동반하다	ともなう
共に	함께, 둘 다	ともに
とりあえず	일단	とりあえず
取り上げる	집어 들다, 다루다, 빼앗다	とりあげる
取り扱う	다루다	とりあつかう
取り入れる	거두어들이다, 받아들이다	とりいれる
取り掛かる	착수하다	とりかかる
取り組む	몰두하다, 맞붙다	とりくむ
取り払う	없애다	とりはらう
取れる	(붙어 있던 것이) 떨어지다, 사라지다, (휴가나 자격 등을) 얻을 수 있다	とれる
とんでもない	당치 않다, 별말씀을요	とんでもない
同意見	같은 의견	どういけん
同一	동일하다	どういつ
同格	동격	どうかく
動画	동영상	どうが
動機	동기	どうき
同情	동정	どうじょう
どうせ	어차피	どうせ
同世代	같은 세대	どうせだい
道徳	도덕	どうとく
導入	도입	どうにゅう
同年齢	같은 나이	どうねんれい
童謡	동요	どうよう
同僚	동료	どうりょう
童話	동화	どうわ
毒	독	どく
読書離れ	독서에서 멀어짐	どくしょばなれ
独自	독자적이다	どくじ
毒する	(정신이나 사회를) 해치다	どくする
どける	치우다	どける
どしどし	잇따라, 거침없이	どしどし
土台	토대, 애초에	どだい
どっしり	묵직하게	どっしり
どっと	왁자글, 한꺼번에	どっと
どろどろ	질척질척하다, 감정이나 관계가 추잡하게 얽히다	どろどろ
鈍感	둔감하다	どんかん
丼	사발, 덮밥	どんぶり
なお	여전히, 더욱, 또한	なお
半ば	중간, 절반, 거의	なかば
仲良く	사이좋게	なかよく
長生き	장수	ながいき
長年	오랜 세월	ながねん
長引く	길어지다	ながびく
眺め	경치	ながめ
眺める	바라보다	ながめる
泣き出す	울기 시작하다	なきだす
殴る	때리다	なぐる
嘆く	한탄하다	なげく
和む	누그러지다	なごむ
和やか	온화하다	なごやか
情けない	한심하다	なさけない
無し	없음	なし
なぜなら	왜냐하면	なぜなら
謎	수수께끼	なぞ
なぞらえる	견주다, 본뜨다	なぞらえる
名高い	유명하다	なだかい
納得	납득하다	なっとく
夏休み明け	여름방학 직후	なつやすみあけ
撫でる	쓰다듬다	なでる
何しろ	어쨌든, 워낙	なにしろ
何分	아무쪼록, 어쨌든	なにぶん
鍋	냄비, 전골	なべ
生意気	건방지다	なまいき
並木	가로수	なみき
倣う	모방하다	ならう
成田発	나리타발	なりたはつ
馴れ馴れしい	(친하지 않은데) 친한 듯 굴다	なれなれしい
縄	밧줄	なわ
南極	남극	なんきょく
何て	얼마나, 뭐라고	なんて
何で	왜, 무엇으로	なんで
何とも	정말, 전혀	なんとも
何度も	몇 번이고	なんども
南米	남미	なんべい
何らか	어떤	なんらか
煮える	익다	にえる
匂う	냄새나다	におう
逃がす	놓아주다, 놓치다	にがす
苦手	서툴다, 꺼리다	にがて
握りしめる	꽉 움켜쥐다	にぎりしめる
憎い	밉다, 얄밉게 멋지다	にくい
憎む	미워하다	にくむ
憎らしい	얄밉다	にくらしい
肉類	육류	にくるい
にこやか	환하게 웃다	にこやか
濁る	탁해지다	にごる
煮魚	생선조림	にざかな
虹	무지개	にじ
日光	햇빛	にっこう
にっこり	방긋	にっこり
日中	낮, 일본과 중국	にっちゅう
二度と	두 번 다시	にどと
担う	짊어지다, 맡다	になう
鈍い	둔하다	にぶい
日本語版	일본어판	にほんごばん
日本式	일본식	にほんしき
日本風	일본풍	にほんふう
日本流	일본식	にほんりゅう
入社	입사	にゅうしゃ
抜く	뽑다, 앞지르다	ぬく
盗む	훔치다	ぬすむ
布	천	ぬの
塗る	바르다	ぬる
ネジ	나사, 태엽	ねじ
ねじる	비틀다	ねじる
熱帯	열대	ねったい
熱中	열중	ねっちゅう
熱演	열연	ねつえん
粘り強い	끈기 있다	ねばりづよい
値引き	할인	ねびき
寝間着	잠옷	ねまき
眠り	잠	ねむり
狙い	노림	ねらい
年代順	연대순	ねんだいじゅん
年度	연도	ねんど
農家	농가	のうか
濃厚	농후하다	のうこう
農産物	농산물	のうさんぶつ
納税	납세	のうぜい
濃度	농도	のうど
納付	납부	のうふ
農薬	농약	のうやく
能率	능률	のうりつ
逃す	놓치다, 놓아주다	のがす
逃れる	벗어나다	のがれる
軒	처마	のき
残らず	남김없이	のこらず
残る	남다	のこる
除く	제거하다, 제외하다	のぞく
望ましい	바람직하다	のぞましい
望み	희망	のぞみ
望む	바라다, 바라보다	のぞむ
後ほど	나중에	のちほど
のびのび	자유롭게	のびのび
昇る	(해나 달이) 뜨다	のぼる
糊	풀	のり
乗り越す	내릴 곳을 지나치다	のりこす
乗り過ごす	내릴 곳을 지나치다	のりすごす
乗り継ぐ	갈아타다	のりつぐ
のろい	느리다, 둔하다	のろい
呑気	태평하다	のんき
灰色	회색	はいいろ
廃止	폐지	はいし
配置	배치	はいち
配布	배포	はいふ
配分	배분	はいぶん
俳優	배우	はいゆう
墓	무덤	はか
博士	박사	はかせ
墓参り	성묘	はかまいり
秤	저울	はかり
吐き気	구역질	はきけ
拍手	박수	はくしゅ
薄弱	박약하다	はくじゃく
歯車	톱니바퀴	はぐるま
はげる	벗겨지다, (색이) 바래다	はげる
挟まる	끼이다	はさまる
挟む	끼다	はさむ
破産	파산	はさん
端	끝	はし
梯子	사다리, 여러 곳을 잇달아 다니다	はしご
柱	기둥	はしら
恥	부끄러움	はじ
初め	처음, ~을 비롯하여	はじめ
蓮	연꽃	はす
外す	떼다, (자리를) 비우다	はずす
外れる	(결합이 풀리거나 대상에서) 빠지다, 빗나가다, (규칙이나 기준에) 어긋나다	はずれる
旗	깃발	はた
果たして	과연	はたして
果たす	완수하다	はたす
働き手	일꾼	はたらきて
肌	피부	はだ
裸	벌거벗은 상태	はだか
肌着	속옷	はだぎ
裸足	맨발, 전문가를 능가함	はだし
発揮	발휘	はっき
発行元	발행처	はっこうもと
発車	발차	はっしゃ
初体験	첫 경험	はつたいけん
派手	화려하다	はで
話し込む	이야기에 열중하다	はなしこむ
話しづらい	말하기 어렵다	はなしづらい
放す	놓다	はなす
甚だしい	심하다	はなはだしい
花嫁	신부	はなよめ
離れる	떨어지다, 떠나다	はなれる
羽	깃털, 날개	はね
跳ねる	뛰어오르다, 튀다, 끝나다	はねる
幅	폭	はば
省く	생략하다, 줄이다	はぶく
破片	파편	はへん
はめる	끼우다, 함정에 빠뜨리다	はめる
早起き	일찍 일어나다	はやおき
速さ	속도	はやさ
早まる	앞당겨지다, 성급하게 굴다, 빨라지다	はやまる
払い込む	납입하다	はらいこむ
腹が立つ	화가 나다	はらがたつ
腹立つ	화나다	はらだつ
腹を立てる	화를 내다	はらをたてる
針	바늘	はり
針金	철사	はりがね
張り切る	의욕이 넘치다	はりきる
張る	붙이다, 팽팽하게 펴다, 값이 나가다	はる
貼る	붙이다	はる
遥か	아득하다	はるか
春先	초봄	はるさき
晴れやか	쾌청하다	はれやか
腫れる	붓다	はれる
繁栄	번영	はんえい
半径	반지름	はんけい
ハンコ	도장	はんこ
反抗	반항	はんこう
反社会的	반사회적이다	はんしゃかいてき
判事	판사	はんじ
半数	절반	はんすう
半世紀	반세기	はんせいき
反則	반칙	はんそく
半袖	반소매	はんそで
半透明	반투명	はんとうめい
反復	반복	はんぷく
反面	반면	はんめん
反論	반론	はんろん
場	장	ば
馬鹿	바보, 시시하다, 엄청나게	ばか
馬鹿馬鹿しい	어처구니없다	ばかばかしい
馬鹿らしい	바보 같다	ばからしい
莫大	막대하다	ばくだい
爆弾	폭탄	ばくだん
爆発	폭발	ばくはつ
罰する	처벌하다	ばっする
バネ	스프링, 발판	ばね
万歳	만세, 두 손 들다	ばんざい
冷え込む	(날씨가) 몹시 추워지다, 악화되다	ひえこむ
比較的	비교적	ひかくてき
日陰	그늘	ひかげ
被害	피해	ひがい
率いる	이끌다	ひきいる
引き返す	되돌아가다	ひきかえす
引き止める	말리다	ひきとめる
引き離す	떼어놓다	ひきはなす
卑怯	비겁하다	ひきょう
引き分け	무승부	ひきわけ
惹く	마음을 끌다	ひく
秘訣	비결	ひけつ
悲劇	비극	ひげき
非公式	비공식	ひこうしき
日頃	평소	ひごろ
久しぶり	오랜만	ひさしぶり
膝	무릎	ひざ
日差し	햇살	ひざし
肘	팔꿈치	ひじ
非常	비상, 대단하다	ひじょう
非常識	비상식	ひじょうしき
ひそひそ	소곤소곤	ひそひそ
額	이마	ひたい
浸す	적시다	ひたす
引っかかる	걸리다	ひっかかる
ひっくり返る	뒤집히다, 넘어지다	ひっくりかえる
引っ込む	안쪽으로 들어가다, 물러나다	ひっこむ
必死	필사적이다	ひっし
筆者	필자	ひっしゃ
引っ張る	끌다	ひっぱる
必需品	필수품	ひつじゅひん
否定	부정	ひてい
